category_truth,text
Active Directory,"Hi, could you please set up a new account for me? I just started and need to get access sorted out. Thanks!"
Active Directory,"Hey, I need to have a user account fully cancelled and all their access revoked as soon as possible. Could someone take care of that?"
Active Directory,"Hi there, I need to get a new user registered and some equipment purchased for them at [LOCATION]13494 — this is for [NAME]. Let me know if you need any additional details."
Active Directory,"Hi, could you please set up a Windows account and any additional services needed for [NAME]? They're with [COMPANY] based out of [LOCATION]. This is related to Order Request ID [TICKET ID]."
Active Directory,"Hi, [NAME] is telling me they can't log into my computer at all — they just get blocked every time they try. Could someone take a look and get that access sorted out?"
Active Directory,"Hey, I need to request access to [LOCATION] for our IT team — the site address is [ADDRESS], Americas region. Could someone get that set up?"
Active Directory,"Hi, I need a new user account created for a new employee with username [USERNAME], including corporate network access and an email account. This is for location ID 13413 — [LOCATION]. Please let me know if you need anything else."
Active Directory,"Hi, I'm having some trouble with access — could someone help me out? I'm not sure who else to contact."
Active Directory,"Hi, I need a new Windows user account set up for someone, including an Exchange email, Skype, and the standard file share access. Could you get that going when you have a chance?"
Active Directory,"Hi, I need to request that [NAME]'s user account and all associated access be cancelled. Please let me know once that's been taken care of."
Active Directory,"Hello, could you please cancel a user account and make sure all their access is revoked? It needs to be done as soon as possible. Thanks."
Active Directory,"Hey, I need a brand new Windows account set up for someone — they'll need an Exchange email, Skype, and access to the standard file shares. Can you help get that created?"
Active Directory,"Hi, we have an employee who has left the company and I need their Windows and email accounts deleted, all system access revoked, and their hardware returned. Could you please handle the full offboarding process?"
Active Directory,"Hi, [NAME]'s AD account keeps getting disabled and it's becoming a real problem — they're getting locked out repeatedly and can't get any work done. Could someone look into why this keeps happening and fix it?"
Active Directory,"Hi, [NAME] is getting a login failure every time they try to sign into their Microsoft account and can't get in at all. Could someone help figure out what's going on?"
Active Directory,"Hi, I need to get a new Windows account set up for someone — they'll need email through Exchange, Skype, and access to the standard file shares. Could you help get all of that provisioned?"
Active Directory,"Hey, could you please create a new Organizational Unit called 'West' in Active Directory? Let me know if you need any additional details."
Active Directory,"Hi there, I'm having trouble accessing some systems — it looks like my access may have been restricted or blocked. Could you look into releasing it for me? I need to get back in as soon as possible."
Active Directory,"Hi, it looks like a user account has been blocked and they can't log in. Could someone take a look and get it sorted out? They need access urgently."
Active Directory,"Hey, I need help getting the profile configured for [NAME] — could someone take a look and make sure everything is set up correctly on their account?"
Active Directory,"Hi, could you check [LOCATION] for OneDrive? It's related to [SERVER]-TEST — want to make sure everything is set up properly there."
Active Directory,"Hi team, we have an employee who is leaving the company and I need their account cancelled and all access revoked. Please let me know if you need any details to get this processed."
Active Directory,"Hi, my account seems to be blocked and I can't log in at all. I'm not sure what happened — could someone please unblock it? I need access to do my work."
Active Directory,"Hi, I need to request that the account for [NAME] [NAME] be blocked and cancelled. Could you please take care of that when you get a chance?"
Active Directory,"Hello, I need a Light (external) user account created with email access and basic system permissions. Could you get that set up for me? Let me know what information you need."
Active Directory,"Hey, it looks like a group that should be in Active Directory is missing — I can't find it anywhere when I search. Could someone check on this and add it back if it was removed by mistake?"
Active Directory,"Hi, I need to get a user account set up to mirror another existing user's permissions and access — basically make it match exactly. Can you help with that?"
Active Directory,"Hi there, I need to have a system deleted and fully removed. Could someone handle this when possible? Happy to provide more details if needed."
Active Directory,"Hi, I need to get some machines joined to the domain — could you help get them connected? Let me know what you need from me to move forward."
Active Directory,"Hi, could you please deactivate the following email address: [EMAIL]? The account is no longer needed and should be disabled. Thanks!"
Active Directory,"Hi, we have a new employee starting soon and need to get them set up with a Windows account, email, Skype, and access to the standard file shares. Could you help get that all created? Thanks!"
Active Directory,"Hey, I just got a new computer and need help getting it set up. Can someone assist?"
Active Directory,"Hi there, we need to cancel a user's account and make sure all their access is revoked. Please let me know what information you need from me to get this done."
Active Directory,I'm locked out of my account and can't log in at all — can someone please unlock it as soon as possible? I need to get back to work!
Active Directory,"Olá, preciso que meu acesso seja liberado. Estou sem conseguir entrar no sistema. Podem me ajudar?"
Active Directory,"Hi, we have a third-party consultant who is being denied access to our systems and they need to get in to do their work. Could someone look into why their access isn't working and get it sorted out? Thanks."
Active Directory,"Hi team, we have an employee who is leaving and we need to get their offboarding taken care of — that means deleting their Windows and email accounts, revoking access to all systems, and arranging for their hardware to be returned. Please let me know what you need from me to move this forward."
Active Directory,"Hi, this is regarding ticket SR272002 — [NAME] at [COMPANY] has recently gotten married and needs their name updated in the system. The new name is [NAME]. Could you please make that change? Thanks!"
Active Directory,"Hello, we need to cancel a user account and revoke all of their access. Can you please take care of this?"
Active Directory,"Hi, I have a new team member joining and they'll need a Windows account set up along with email, Skype, and the standard file share access. Can you get that created for them? Let me know if you need any additional details."
Active Directory,"Hi, I need to get a new email address set up. Could someone help me with that?"
Active Directory,"Hi, I need to reset my password — I can't get into my account. Can you help?"
Active Directory,"Hi, the account for [EMAIL] is locked out and they can't log in. Could someone please unlock it right away? They need access urgently."
Active Directory,"Hi, I need help with something related to [COMPANY] at [LOCATION] on [SERVER]. Could someone reach out so I can explain what's needed?"
Active Directory,"Hi, I'm putting in a request to set up a basic user account for [USERNAME], that's [NAME] over at [COMPANY] in [LOCATION]. Could you get that created? Thanks!"
Active Directory,"Hi, just a heads up that [NAME] from [COMPANY] at [LOCATION] will be leaving the company on 28/12/2017. Could you please take care of the offboarding on your end? Thanks!"
Active Directory,"Hey, I'm having trouble getting access to something and need help. Could someone look into this for me?"
Active Directory,"Hi there, it looks like there's a GPO missing for [LOCATION] at [ADDRESS] — could someone take a look and get that sorted out?"
Computer-Services,"Hey, could someone help me get a printer installed on my computer? I'm not sure how to do it myself. Thanks!"
Computer-Services,"Hi, I need some help — my personal external [LOCATION] drive is locked and I can't access it. Is there any way you can unlock it for me?"
Computer-Services,I'm having some issues with the label printer — it doesn't seem to be working properly. Could someone come take a look at it?
Computer-Services,"Hi, I need a new printer driver installed on my machine. Could someone help me get that set up?"
Computer-Services,"Hey, I'm having trouble connecting to the network printer and can't figure out what's wrong. Could someone help me get it working?"
Computer-Services,I can't seem to print to the new copier in KIM — whenever I try to send a print job nothing happens. Can someone help me get it set up on my computer?
Computer-Services,"Hi, we have a new printer that needs to be installed in [NAME]'s office. Could someone come by and take care of that when they get a chance?"
Computer-Services,"Hey, I need help getting a parallel printer installed — could someone assist me with the setup?"
Computer-Services,"Hi, could someone update the names listed on the Shakopee copier? They need to be changed and I don't have access to do it myself."
Computer-Services,"The Brother BEE T01 printer is throwing an error — the display is showing messages about replacing parts and something about the drum. It's not printing at all, so could someone come take a look?"
Computer-Services,Good morning! I'm having a problem with the printer at [LOCATION] — it's not showing up as available on my machine and I can't print anything. Could someone help me get it back online?
Computer-Services,"Hey, I'm having trouble with the shared scanner — it doesn't seem to be working right. Could someone come check it out?"
Computer-Services,"Hi, could someone come by and reinstall the scanner? It's not being recognized anymore and I need it up and running as soon as possible."
Computer-Services,"Hey, the printers here aren't working properly — not sure what happened but they seem to be malfunctioning. Can someone take a look?"
